userid	username	prompt_type	training_step	current_action	current_observation	complex_observation	test_result
2	A1N4AZ1QXPOPXH	EX	1	["0","EX","icedpil","to accept"]	to accept	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	2	["68","MC","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	I accept	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	3	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	you entered	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	4	["14","EX","ák enpli","he enters"]	he enters	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	5	["79","MC","ekki enplü","she entered","she watched","she will accept","you watched","he will watch"]	she entered	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	6	["80","MC","melil","to watch","I entered","I watched","she entered","he accepted"]	to watch	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	7	["55","MC","enplil","to enter","she will enter","he accepted","you enter","she will accept"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	8	["22","EX","ák enplü","he entered"]	he entered	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	9	["132","MCR","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	he will enter	{"1":{"guess":"he will enter","time":12}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	TPR	10	["205","TPR","pi enpliz","you enter"]	she enters	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	TPR	11	["211","TPR","ekki enplilí","she will enter"]	she will enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	12	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	he will enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	13	["3","EX","ák icedpi","he accepts"]	he accepts	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	14	["82","MC","ekki meli","she watches","you accept","she will enter","he will watch","she enters"]	she watches	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	15	["5","EX","yé icedpilá","I will accept"]	I will accept	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	16	["16","EX","yé enplilá","I will enter"]	I will enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	17	["72","MC","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	I entered	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	18	["13","EX","pi enpliz","you enter"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	TPR	19	["204","TPR","yé enplé","I enter"]	I enter	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	TPR	20	["195","TPR","ák icedpi","he accepts"]	he watches	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	21	["105","MCR","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	she accepts	{"1":{"guess":"she accepts","time":11}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	EX	22	["27","EX","ák melilí","he will watch"]	he will watch	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	23	["156","MCR","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	you watched	{"1":{"guess":"you watched","time":13}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	24	["101","MCR","pi icedpiz","you accept","he will accept","to enter","he accepts","I entered"]	you accept	{"1":{"guess":"you accept","time":14}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MC	25	["90","MC","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	he will accept	NULL	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	26	["135","MCR","ekki enplilí","she will enter","she will accept","you enter","he accepted","he enters"]	she will enter	{"1":{"guess":"she will accept","time":13},"2":{"guess":"she will enter","time":11}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
2	A1N4AZ1QXPOPXH	MCR	27	["113","MCR","pi icedpizpe","you accepted","she will enter","you will enter","you entered","she watches"]	you accepted	{"1":{"guess":"you entered","time":10},"2":{"guess":"you will enter","time":9},"3":{"guess":"you accepted","time":7}}	{"0":{"reference":"you will accept","user_answer":"you enter"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
