username	training_step	prompt_type	current_action	current_action_id	current_observation	complex_observation
A1N4AZ1QXPOPXH	1	EX	["0","EX","icedpil","to accept"]	0	to accept	NULL
A1N4AZ1QXPOPXH	2	MC	["68","MC","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	68	I accept	NULL
A1N4AZ1QXPOPXH	3	MC	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	75	you entered	NULL
A1N4AZ1QXPOPXH	4	EX	["14","EX","ák enpli","he enters"]	14	he enters	NULL
A1N4AZ1QXPOPXH	5	MC	["79","MC","ekki enplü","she entered","she watched","she will accept","you watched","he will watch"]	79	she entered	NULL
A1N4AZ1QXPOPXH	6	MC	["80","MC","melil","to watch","I entered","I watched","she entered","he accepted"]	80	to watch	NULL
A1N4AZ1QXPOPXH	7	MC	["55","MC","enplil","to enter","she will enter","he accepted","you enter","she will accept"]	55	you enter	NULL
A1N4AZ1QXPOPXH	8	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1N4AZ1QXPOPXH	9	MCR	["132","MCR","ák enplilí","he will enter","I accept","I watched","he entered","to watch"]	132	he will enter	{"1":{"guess":"he will enter","time":12}}
A1N4AZ1QXPOPXH	10	TPR	["205","TPR","pi enpliz","you enter"]	205	she enters	NULL
A1N4AZ1QXPOPXH	11	TPR	["211","TPR","ekki enplilí","she will enter"]	211	she will enter	NULL
A1N4AZ1QXPOPXH	12	MC	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	75	he will enter	NULL
A1N4AZ1QXPOPXH	13	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A1N4AZ1QXPOPXH	14	MC	["82","MC","ekki meli","she watches","you accept","she will enter","he will watch","she enters"]	82	she watches	NULL
A1N4AZ1QXPOPXH	15	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
A1N4AZ1QXPOPXH	16	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
A1N4AZ1QXPOPXH	17	MC	["72","MC","yé enplá","I entered","she accepted","she will watch","he will enter","she watches"]	72	I entered	NULL
A1N4AZ1QXPOPXH	18	EX	["13","EX","pi enpliz","you enter"]	13	you enter	NULL
A1N4AZ1QXPOPXH	19	TPR	["204","TPR","yé enplé","I enter"]	204	I enter	NULL
A1N4AZ1QXPOPXH	20	TPR	["195","TPR","ák icedpi","he accepts"]	195	he watches	NULL
A1N4AZ1QXPOPXH	21	MCR	["105","MCR","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	105	she accepts	{"1":{"guess":"she accepts","time":11}}
A1N4AZ1QXPOPXH	22	EX	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
A1N4AZ1QXPOPXH	23	MCR	["156","MCR","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	156	you watched	{"1":{"guess":"you watched","time":13}}
A1N4AZ1QXPOPXH	24	MCR	["101","MCR","pi icedpiz","you accept","he will accept","to enter","he accepts","I entered"]	101	you accept	{"1":{"guess":"you accept","time":14}}
A1N4AZ1QXPOPXH	25	MC	["90","MC","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	90	he will accept	NULL
A1N4AZ1QXPOPXH	26	MCR	["135","MCR","ekki enplilí","she will enter","she will accept","you enter","he accepted","he enters"]	135	she will enter	{"1":{"guess":"she will accept","time":13},"2":{"guess":"she will enter","time":11}}
A1N4AZ1QXPOPXH	27	MCR	["113","MCR","pi icedpizpe","you accepted","she will enter","you will enter","you entered","she watches"]	113	you accepted	{"1":{"guess":"you entered","time":10},"2":{"guess":"you will enter","time":9},"3":{"guess":"you accepted","time":7}}
A1N4AZ1QXPOPXH	28	TP	["189","TP","yé melá","I watched"]	189	you will enter	NULL
A1N4AZ1QXPOPXH	29	TP	["189","TP","yé melá","I watched"]	189	you accept	NULL
A1N4AZ1QXPOPXH	30	TPR	["221","TPR","yé melá","I watched"]	221	you will accept	NULL
A1N4AZ1QXPOPXH	31	EX	["29","EX","yé melá","I watched"]	29	I watched	NULL
A1N4AZ1QXPOPXH	32	MC	["58","MC","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	58	he accepts	NULL
A1N4AZ1QXPOPXH	33	MCR	["131","MCR","pi enplilíz","you will enter","you watched","he accepted","I will accept","she entered"]	131	you will enter	{"1":{"guess":"you will enter","time":10}}
A1N4AZ1QXPOPXH	34	MC	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	53	she will accept	NULL
A1N4AZ1QXPOPXH	35	MC	["32","MC","icedpil","to accept","I enter","I entered","she accepted","she entered"]	32	to accept	NULL
A1JO6AY55FG7QU	1	EX	["3","EX","ák icedpi","he accepts"]	3	he accepts	NULL
A1JO6AY55FG7QU	2	EX	["1","EX","yé icedpé","I accept"]	1	I accept	NULL
A1JO6AY55FG7QU	3	MC	["76","MC","ák enplü","he entered","she entered","I enter","I will enter","he will watch"]	76	I enter	NULL
A1JO6AY55FG7QU	4	TPR	["201","TPR","ák icedpü","he accepted"]	201	I will enter	NULL
A1JO6AY55FG7QU	5	EX	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
A1JO6AY55FG7QU	6	EX	["4","EX","ekki icedpi","she accepts"]	4	she accepts	NULL
A1JO6AY55FG7QU	7	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
